joint_time,lelbowroll_filtered,lshoulderpitch_filtered,lshoulderroll_filtered,relbowroll_filtered,rshoulderpitch_filtered,rshoulderroll_filtered
0.0029997825622558594,-0.058259152811784565,-0.028566294397512557,-0.045571709201159036,0.04470111265521313,-0.04723159689673096,0.02103443425744223
0.020999908447265625,-0.11651830562356913,-0.05713258879502511,-0.09114341840231807,0.08940222531042626,-0.09446319379346192,0.04206886851488446
0.039999961853027344,-0.1747774584353537,-0.08569888319253767,-0.1367151276034771,0.1341033379656394,-0.1416947906901929,0.06310330277232669
0.059999942779541016,-0.23303661124713826,-0.11426517759005023,-0.18228683680463614,0.1788044506208525,-0.18892638758692384,0.08413773702976891
0.08099985122680664,-0.2912957640589228,-0.1428314719875628,-0.2278585460057952,0.2235055632760656,-0.23615798448365483,0.10517217128721114
0.09799981117248535,-0.3495549168707074,-0.17139776638507534,-0.27343025520695424,0.2682066759312787,-0.2833895813803858,0.12620660554465338
0.1119999885559082,-0.407814069682492,-0.1999640607825879,-0.31900196440811324,0.31290778858649193,-0.33062117827711673,0.1472410398020956
0.12799978256225586,-0.4660732224942765,-0.22853035518010045,-0.3645736736092723,0.357608901241705,-0.3778527751738477,0.16827547405953783
0.14299988746643066,-0.524332375306061,-0.257096649577613,-0.4101453828104313,0.4023100138969181,-0.42508437207057864,0.18930990831698008
0.1549999713897705,-0.5825915281178456,-0.2856629439751256,-0.45571709201159033,0.4470111265521312,-0.47231596896730965,0.21034434257442228
0.16899991035461426,-0.6408506809296303,-0.3142292383726381,-0.5012888012127494,0.49171223920734436,-0.5195475658640406,0.23137877683186453
0.182999849319458,-0.6991098337414148,-0.3427955327701507,-0.5468605104139084,0.5364133518625576,-0.5667791627607716,0.25241321108930675
0.20399999618530273,-0.7573689865531993,-0.3713618271676633,-0.5924322196150674,0.5811144645177706,-0.6140107596575025,0.27344764534674904
0.22699999809265137,-0.8156281393649839,-0.3999281215651759,-0.6380039288162265,0.6258155771729838,-0.6612423565542335,0.2944820796041912
0.24499988555908203,-0.8738872921767685,-0.42849441596268834,-0.6835756380173855,0.6705166898281969,-0.7084739534509644,0.3155165138616335
0.2669999599456787,-0.932146444988553,-0.4570607103602009,-0.7291473472185446,0.71521780248341,-0.7557055503476954,0.33655094811907565
0.2929999828338623,-0.9904055978003377,-0.48562700475771353,-0.7747190564197036,0.7599189151386231,-0.8029371472444263,0.35758538237651794
